Dates,Name,Total Current Assets,Total Current Liabilities,Operating Income,Total Revenue,Free Cash Flow over last 4 years,Buy
2021-06-30,MSFT,184406000000.0,88657000000.0,69916000000.0,168088000000.0,56118000000.0,0
2022-06-30,MSFT,169684000000.0,95082000000.0,83383000000.0,198270000000.0,65149000000.0,0
2023-06-30,MSFT,184257000000.0,104149000000.0,88523000000.0,211915000000.0,59475000000.0,0
2024-06-30,MSFT,159734000000.0,125286000000.0,109433000000.0,245122000000.0,74071000000.0,0
2023-12-31,CHGG,414835000.0,518462000.0,-67725000.0,716295000.0,163146000.0,0
2022-12-31,CHGG,1144400000.0,138874000.0,8957000.0,766897000.0,152644000.0,0
2021-12-31,CHGG,1622648000.0,114344000.0,78107000.0,776265000.0,179044000.0,0
2020-12-31,CHGG,1182955000.0,109732000.0,56753000.0,644338000.0,155125000.0,0
2024-09-30,AAPL,152987000000.0,176392000000.0,123216000000.0,391035000000.0,108807000000.0,0
2023-09-30,AAPL,143566000000.0,145308000000.0,114301000000.0,383285000000.0,99584000000.0,0
2022-09-30,AAPL,135405000000.0,153982000000.0,119437000000.0,394328000000.0,111443000000.0,0
2021-09-30,AAPL,134836000000.0,125481000000.0,108949000000.0,365817000000.0,92953000000.0,0
2021-01-31,NVDA,16055000000.0,3925000000.0,4532000000.0,16675000000.0,4694000000.0,0
2022-01-31,NVDA,28829000000.0,4335000000.0,10041000000.0,26914000000.0,8132000000.0,0
2023-01-31,NVDA,23073000000.0,6563000000.0,5577000000.0,26974000000.0,3808000000.0,0
2024-01-31,NVDA,44345000000.0,10631000000.0,32972000000.0,60922000000.0,27021000000.0,0
2023-12-31,GOOG,171530000000.0,81814000000.0,84293000000.0,307394000000.0,69495000000.0,0
2022-12-31,GOOG,164795000000.0,69300000000.0,74842000000.0,282836000000.0,60010000000.0,0
2021-12-31,GOOG,188143000000.0,64254000000.0,78714000000.0,257637000000.0,67012000000.0,0
2020-12-31,GOOG,174296000000.0,56834000000.0,41224000000.0,182527000000.0,42843000000.0,0
2023-12-31,GOOGL,171530000000.0,81814000000.0,84293000000.0,307394000000.0,69495000000.0,0
2022-12-31,GOOGL,164795000000.0,69300000000.0,74842000000.0,282836000000.0,60010000000.0,0
2021-12-31,GOOGL,188143000000.0,64254000000.0,78714000000.0,257637000000.0,67012000000.0,0
2020-12-31,GOOGL,174296000000.0,56834000000.0,41224000000.0,182527000000.0,42843000000.0,0
2020-12-31,AMZN,132733000000.0,126385000000.0,22899000000.0,386064000000.0,25924000000.0,0
2021-12-31,AMZN,161580000000.0,142266000000.0,24879000000.0,469822000000.0,-14726000000.0,0
2022-12-31,AMZN,146791000000.0,155393000000.0,12248000000.0,513983000000.0,-16893000000.0,0
2023-12-31,AMZN,172351000000.0,164917000000.0,36852000000.0,574785000000.0,32217000000.0,0
2023-12-31,META,85365000000.0,31960000000.0,46751000000.0,134902000000.0,43847000000.0,0
2022-12-31,META,59549000000.0,27026000000.0,28944000000.0,116609000000.0,19044000000.0,0
2021-12-31,META,66666000000.0,21135000000.0,46753000000.0,117929000000.0,38993000000.0,0
2020-12-31,META,75670000000.0,14981000000.0,32671000000.0,85965000000.0,23584000000.0,0
2023-12-31,LLY,25727000000.0,27293200000.0,10787300000.0,34124100000.0,-3152000000.0,0
2022-12-31,LLY,18034500000.0,17138200000.0,8653300000.0,28541400000.0,4600400000.0,0
2021-12-31,LLY,18452400000.0,15052700000.0,7933000000.0,28318400000.0,5387500000.0,0
2020-12-31,LLY,17462100000.0,12481600000.0,7101400000.0,24539800000.0,4470500000.0,0
2023-10-31,AVGO,20847000000.0,7405000000.0,16451000000.0,35819000000.0,17633000000.0,1
2022-10-31,AVGO,18504000000.0,7052000000.0,14282000000.0,33203000000.0,16312000000.0,1
2021-10-31,AVGO,16586000000.0,6281000000.0,8667000000.0,27450000000.0,13321000000.0,1
2020-10-31,AVGO,11895000000.0,6371000000.0,4212000000.0,23888000000.0,11598000000.0,1
2023-12-31,TSLA,49616000000.0,28748000000.0,8891000000.0,96773000000.0,4357000000.0,0
2022-12-31,TSLA,40917000000.0,26709000000.0,13832000000.0,81462000000.0,7552000000.0,0
2021-12-31,TSLA,27100000000.0,19705000000.0,6496000000.0,53823000000.0,3483000000.0,0
2020-12-31,TSLA,26717000000.0,14248000000.0,1994000000.0,31536000000.0,2701000000.0,0
2023-09-30,V,33532000000.0,23098000000.0,21927000000.0,32653000000.0,19696000000.0,1
2022-09-30,V,30205000000.0,20853000000.0,19681000000.0,29310000000.0,17879000000.0,1
2021-09-30,V,27607000000.0,15739000000.0,15807000000.0,24105000000.0,14522000000.0,1
2020-09-30,V,27645000000.0,14510000000.0,14092000000.0,21846000000.0,9704000000.0,1
2021-01-31,WMT,90067000000.0,92645000000.0,22548000000.0,559151000000.0,25810000000.0,0
2022-01-31,WMT,81070000000.0,87379000000.0,25942000000.0,572754000000.0,11075000000.0,0
2023-01-31,WMT,75655000000.0,92198000000.0,20428000000.0,611289000000.0,11984000000.0,0
2024-01-31,WMT,76877000000.0,92415000000.0,27012000000.0,648125000000.0,15120000000.0,0
2020-12-31,XOM,44893000000.0,56363000000.0,-29448000000.0,178574000000.0,-2614000000.0,0
2021-12-31,XOM,59154000000.0,56643000000.0,24019000000.0,276692000000.0,36053000000.0,0
2022-12-31,XOM,97631000000.0,69045000000.0,64028000000.0,398675000000.0,58390000000.0,0
2023-12-31,XOM,96609000000.0,65316000000.0,44461000000.0,334697000000.0,33450000000.0,0
2020-12-31,UNH,53718000000.0,72420000000.0,20903000000.0,255639000000.0,20123000000.0,0
2021-12-31,UNH,61758000000.0,78292000000.0,21646000000.0,285273000000.0,19889000000.0,0
2022-12-31,UNH,69069000000.0,89237000000.0,26405000000.0,322132000000.0,23404000000.0,0
2023-12-31,UNH,78437000000.0,99054000000.0,28269000000.0,367533000000.0,25682000000.0,0
2023-12-31,MA,18961000000.0,16264000000.0,14630000000.0,25098000000.0,10892000000.0,1
2022-12-31,MA,16606000000.0,14171000000.0,12722000000.0,22237000000.0,10098000000.0,1
